ID,MAG_ab,Replication_rate,MICOM,MICOM_ab1
KG13_genomic,20.33,0.68504098,29.050174980984,91.3442545561785
KG1_genomic,0.09,NaN,0.161060944226096,113.362556929218
KG10_genomic,0.03,NaN,0.644871225865058,0.00100000000095564
KG7_genomic,0.02,NaN,0.629103202396198,147.021472118523
KG2_genomic,1.04,0.274945032,1.48608863650872,27.708081584479
KG9_genomic,9.49,1.606147377,13.5605588081423,78.5634104358433
KG6_genomic,1.68,0.930172866,2.40060472051414,38.4420401608677
KG5_genomic,0.03,NaN,0.107041632602955,77.52104848336
KG8_genomic,1.22,NaN,1.74329628513496,61.6804690133784
KG12_genomic,35.32,1.49560964,50.4698563860479,66.8673019870365
KG14_genomic,0.06,NaN,0.107800968954202,12.4452278585083
KG4_genomic,0.01,NaN,0.0470310285345133,0.00100000003192895
KG11_genomic,30.57,0.937193188,43.68243232507,0.00100000000055043
KG3_genomic,0.1,NaN,0.176963049255094,21.68267482263
KG13_genomic,35.92,0.710510717,59.4343969897157,91.3442545561785
KG1_genomic,0.13,NaN,0.227219597801578,113.362556929218
KG10_genomic,0.08,NaN,0.642235966159018,0.00100000000095564
KG7_genomic,0.07,NaN,0.328760278182462,147.021472118523
KG2_genomic,1.49,0.245922371,2.46540232501849,27.708081584479
KG9_genomic,16.98,1.605857279,28.0956587106149,78.5634104358433
KG6_genomic,5.35,0.701140811,8.85228351600704,38.4420401608677
KG5_genomic,0.03,NaN,0.0893973818216537,77.52104848336
KG8_genomic,2.41,NaN,3.98766416328389,61.6804690133784
KG12_genomic,19.95,1.514156652,33.0099170363257,66.8673019870365
KG14_genomic,0.16,NaN,0.265702618541211,12.4452278585083
KG4_genomic,0.02,NaN,0.0662406157661954,0.00100000003192895
KG11_genomic,17.27,0.883611978,28.5755021161577,0.00100000000055043
KG3_genomic,0.12,NaN,0.22066056031736,21.68267482263
KG13_genomic,38.06,0.704825052,56.2054575770822,91.3442545561785
KG1_genomic,0.27,NaN,0.402880081308097,113.362556929218
KG10_genomic,0.14,NaN,0.433587655323424,0.00100000000095564
KG7_genomic,0.43,0.789107032,0.825010615258647,147.021472118523
KG2_genomic,3.32,0.286856039,4.90284075554158,27.708081584479
KG9_genomic,27.91,1.639674925,41.216351050351,78.5634104358433
KG6_genomic,10.86,1.043701501,16.0376056039704,38.4420401608677
KG5_genomic,3.89,0.79204455,5.74459353586047,77.52104848336
KG8_genomic,4.47,NaN,6.60111390881647,61.6804690133784
KG12_genomic,5.69,1.257465387,8.40276021055169,66.8673019870365
KG14_genomic,0.3,NaN,0.443223194318816,12.4452278585083
KG4_genomic,0.11,NaN,0.191638130566527,0.00100000003192895
KG11_genomic,4.34,0.882399155,6.40913520453327,0.00100000000055043
KG3_genomic,0.21,NaN,0.322062355703968,21.68267482263
KG13_genomic,0.64,0.700716825,1.2573840135899,91.3442545561785
KG1_genomic,0.17,NaN,0.364930417238837,113.362556929218
KG10_genomic,24.24,0.565959274,47.6234195153443,0.00100000000095564
KG7_genomic,0.74,0.546231008,1.45385188240196,147.021472118523
KG2_genomic,0.57,0.174776474,1.11985763710357,27.708081584479
KG9_genomic,1.65,1.501470092,3.24169316005213,78.5634104358433
KG6_genomic,1.62,0.78112358,3.18275328441569,38.4420401608677
KG5_genomic,0.38,0.52511236,0.746571758133821,77.52104848336
KG8_genomic,25.38,0.733712511,49.8631347895983,61.6804690133784
KG12_genomic,6.22,0.768195032,12.2202008822125,66.8673019870365
KG14_genomic,33.77,0.924128348,66.3466533429884,12.4452278585083
KG4_genomic,1.1,0.751070348,2.16112877335781,0.00100000003192895
KG11_genomic,3.35,0.63770662,6.58161944618676,0.00100000000055043
KG3_genomic,0.16,NaN,0.322945955212744,21.68267482263
KG13_genomic,2.07,NaN,1.66654459759128,91.3442545561785
KG1_genomic,0.04,NaN,0.0836007544705149,113.362556929218
KG10_genomic,6.23,0.473705542,5.01573567294382,0.00100000000095564
KG7_genomic,0.06,NaN,0.238455654166019,147.021472118523
KG2_genomic,0.02,NaN,0.0623939545434845,27.708081584479
KG9_genomic,0.28,NaN,0.259803789006057,78.5634104358433
KG6_genomic,4.77,0.781242489,3.84029842053644,38.4420401608677
KG5_genomic,0.01,NaN,0.078556732012731,77.52104848336
KG8_genomic,2.1,0.741515229,1.6906974178462,61.6804690133784
KG12_genomic,0.2,0.766801524,0.164912605418713,66.8673019870365
KG14_genomic,84.03,0.478124956,67.6520495341042,12.4452278585083
KG4_genomic,0.05,0.751070348,0.118085579492868,0.00100000003192895
KG11_genomic,0.11,0.606080474,0.101030107928067,0.00100000000055043
KG3_genomic,0.02,NaN,0.0594372205425917,21.68267482263
